Date,Price,Open,High,Low,Vol.,Change %
31-12-2018,"1,287.70","1,289.60","1,292.60","1,285.80",11.64K,-0.12%
28-12-2018,"1,289.30","1,283.80","1,289.90","1,283.10",4.61K,0.15%
27-12-2018,"1,287.40","1,275.90","1,287.70","1,275.60",5.52K,0.64%
26-12-2018,"1,279.20","1,279.20","1,288.30","1,274.00",4.22K,0.66%
25-12-2018,"1,270.75","1,272.50","1,274.55","1,270.65",-,-0.57%
24-12-2018,"1,278.00","1,266.30","1,279.90","1,266.30",3.90K,1.09%
21-12-2018,"1,264.20","1,270.00","1,272.30","1,263.30",5.35K,-0.78%
"Dec 20, 2018","1,274.20","1,253.30","1,276.30","1,252.50",10.10K,0.92%
"Dec 19, 2018","1,262.60","1,259.90","1,268.20","1,251.60",5.06K,0.22%
"Dec 18, 2018","1,259.80","1,256.10","1,260.20","1,255.20",10.50K,0.14%
"Dec 17, 2018","1,258.00","1,247.40","1,258.30","1,245.90",5.21K,0.84%
"Dec 14, 2018","1,247.50","1,252.20","1,253.30","1,242.50",3.72K,-0.49%
"Dec 13, 2018","1,253.60","1,257.20","1,257.60","1,250.80",3.89K,-0.21%
"Dec 12, 2018","1,256.20","1,254.30","1,258.50","1,253.50",4.90K,0.22%
"Dec 11, 2018","1,253.40","1,256.20","1,261.00","1,252.60",7.13K,-0.18%
"Dec 10, 2018","1,255.60","1,261.50","1,262.30","1,253.20",5.92K,-0.25%
"Dec 07, 2018","1,258.70","1,249.00","1,261.90","1,249.00",7.94K,0.73%
"Dec 06, 2018","1,249.60","1,249.80","1,255.60","1,246.00",5.32K,0.08%
"Dec 05, 2018","1,248.60","1,250.60","1,250.60","1,244.80",1.64K,-0.31%
"Dec 04, 2018","1,252.50","1,242.50","1,253.30","1,241.90",3.67K,0.56%
"Dec 03, 2018","1,245.50","1,233.30","1,246.10","1,233.00",2.38K,1.11%
"Nov 30, 2018","1,231.80","1,235.10","1,236.70","1,227.80",2.62K,-0.36%
"Nov 29, 2018","1,236.30","1,232.90","1,240.50","1,232.90",3.08K,0.05%
"Nov 28, 2018","1,235.70","1,226.60","1,239.40","1,222.80",12.03K,0.82%
"Nov 27, 2018","1,225.70","1,234.50","1,237.20","1,224.00",5.44K,-0.72%
"Nov 26, 2018","1,234.60","1,235.50","1,240.30","1,234.10",5.66K,-0.03%
"Nov 23, 2018","1,235.00","1,238.40","1,240.90","1,233.00",1.79K,0.57%
"Nov 22, 2018","1,228.00","1,226.40","1,229.70","1,225.50",-,-0.94%
"Nov 21, 2018","1,239.70","1,233.30","1,242.30","1,232.70",2.38K,0.55%
"Nov 20, 2018","1,232.90","1,236.40","1,241.00","1,232.00",2.86K,-0.34%
"Nov 19, 2018","1,237.10","1,235.00","1,237.20","1,230.80",3.63K,0.18%
"Nov 16, 2018","1,234.90","1,226.40","1,237.90","1,226.40",3.16K,0.63%
"Nov 15, 2018","1,227.20","1,222.60","1,228.10","1,219.40",1.98K,0.43%
"Nov 14, 2018","1,222.00","1,216.00","1,228.20","1,210.00",1.74K,0.71%
"Nov 13, 2018","1,213.40","1,214.00","1,216.50","1,209.30",6.36K,-0.16%
"Nov 12, 2018","1,215.40","1,223.00","1,223.70","1,212.60",3.32K,-0.44%
"Nov 09, 2018","1,220.80","1,236.10","1,236.10","1,219.50",2.29K,-1.34%
"Nov 08, 2018","1,237.40","1,240.10","1,240.10","1,233.70",3.52K,-0.28%
"Nov 07, 2018","1,240.90","1,245.00","1,247.30","1,239.80",1.54K,0.19%
"Nov 06, 2018","1,238.50","1,243.40","1,249.40","1,238.30",1.33K,-0.49%
"Nov 05, 2018","1,244.60","1,248.50","1,248.50","1,241.00",1.02K,-0.06%
"Nov 02, 2018","1,245.40","1,245.70","1,249.80","1,244.20",1.34K,-0.42%
"Nov 01, 2018","1,250.70","1,228.50","1,251.00","1,228.50",3.76K,1.95%
"Oct 31, 2018","1,226.80","1,230.00","1,232.40","1,225.70",2.21K,-0.86%
"Oct 30, 2018","1,237.40","1,241.70","1,241.70","1,234.10",0.68K,-0.19%
"Oct 29, 2018","1,239.70","1,248.00","1,248.00","1,238.90",0.62K,-0.67%
"Oct 26, 2018","1,248.00","1,249.00","1,257.30","1,246.90",1.12K,0.27%
"Oct 25, 2018","1,244.60","1,252.20","1,252.20","1,242.80",0.61K,0.11%
"Oct 24, 2018","1,243.20","1,246.30","1,248.10","1,241.20",1.05K,-0.46%
"Oct 23, 2018","1,249.00","1,239.40","1,254.00","1,239.00",0.69K,1.00%
"Oct 22, 2018","1,236.60","1,243.70","1,243.70","1,235.40",0.94K,-0.33%
"Oct 19, 2018","1,240.70","1,243.70","1,245.00","1,240.80",0.66K,-0.10%
"Oct 18, 2018","1,242.00","1,238.00","1,244.90","1,233.90",1.35K,0.23%
"Oct 17, 2018","1,239.20","1,236.70","1,244.50","1,236.70",1.08K,-0.29%
"Oct 16, 2018","1,242.80","1,245.20","1,246.80","1,239.00",0.68K,0.05%
"Oct 15, 2018","1,242.20","1,238.10","1,248.30","1,238.10",1.39K,0.68%
"Oct 12, 2018","1,233.80","1,235.90","1,238.70","1,231.70",2.11K,-0.48%
"Oct 11, 2018","1,239.70","1,209.80","1,241.00","1,208.10",4.81K,2.86%
"Oct 10, 2018","1,205.20","1,204.10","1,210.00","1,200.80",2.51K,0.16%
"Oct 09, 2018","1,203.30","1,205.70","1,205.70","1,199.20",1.62K,0.24%
"Oct 08, 2018","1,200.40","1,214.70","1,214.70","1,199.70",2.60K,-1.40%
"Oct 05, 2018","1,217.40","1,214.90","1,221.00","1,213.40",3.51K,0.35%
"Oct 04, 2018","1,213.10","1,213.70","1,222.10","1,211.00",2.29K,-0.10%
"Oct 03, 2018","1,214.30","1,223.10","1,223.10","1,212.30",1.06K,-0.34%
"Oct 02, 2018","1,218.40","1,204.50","1,223.00","1,204.50",1.42K,1.28%
"Oct 01, 2018","1,203.00","1,203.50","1,204.80","1,200.20",1.64K,-0.36%
"Sep 28, 2018","1,207.40","1,197.70","1,209.00","1,196.80",0.55K,0.74%
