Date,GOLDAMGBD228NLBM
29-08-2018,1204.3
30-08-2018,1202.35
31-08-2018,1206.85
03-09-2018,1201.7
04-09-2018,1195.75
05-09-2018,1194.7
06-09-2018,1204.3
07-09-2018,1200.75
10-09-2018,1195.8
11-09-2018,1194
12-09-2018,1197.8
13-09-2018,1206.65
14-09-2018,1206.2
17-09-2018,1196.8
18-09-2018,1199.4
19-09-2018,1203
20-09-2018,1203
21-09-2018,1207.6
24-09-2018,1198.75
25-09-2018,1199.45
26-09-2018,1198.8
27-09-2018,1196
28-09-2018,1183.5
01-10-2018,1185.3
02-10-2018,1192.65
03-10-2018,1203.5
04-10-2018,1199.45
05-10-2018,1201.1
08-10-2018,1194.8
09-10-2018,1187.4
10-10-2018,1186.4
11-10-2018,1201.1
12-10-2018,1218.75
15-10-2018,1233
16-10-2018,1228.85
17-10-2018,1226.75
18-10-2018,1224.6
19-10-2018,1228.25
22-10-2018,1222.9
23-10-2018,1235.6
24-10-2018,1231.65
25-10-2018,1232.15
26-10-2018,1236.05
29-10-2018,1230.75
30-10-2018,1220
31-10-2018,1217.7
01-11-2018,1223.25
02-11-2018,1235.5
05-11-2018,1231.6
06-11-2018,1234.85
07-11-2018,1235.05
08-11-2018,1223.45
09-11-2018,1219.05
12-11-2018,1207.05
13-11-2018,1197.55
14-11-2018,1201.45
15-11-2018,1210.6
16-11-2018,1215.8
19-11-2018,1223.55
20-11-2018,1223.1
21-11-2018,1224
22-11-2018,1228.25
23-11-2018,1222.15
26-11-2018,1226.65
27-11-2018,1225.05
28-11-2018,1213.2
29-11-2018,1226.45
30-11-2018,1220.45
03-12-2018,1231.05
04-12-2018,1239.25
05-12-2018,1236.15
06-12-2018,1236.45
07-12-2018,1241.2
10-12-2018,1246.8
11-12-2018,1248.25
12-12-2018,1244.75
13-12-2018,1244.45
14-12-2018,1239.15
17-12-2018,1239.1
18-12-2018,1248.8
19-12-2018,1248.6
20-12-2018,1255
21-12-2018,1257.6
24-12-2018,1261.25
25-12-2018,.
26-12-2018,.
27-12-2018,1271.1
28-12-2018,1277.25
31-12-2018,1281.65
